symbol,name,market
3229,晟鈦股份有限公司,TW
3231,緯創資通股份有限公司,TW
3257,虹冠電子工業股份有限公司,TW
3266,昇陽建設企業股份有限公司,TW
3296,勝德國際研發股份有限公司,TW
3305,昇貿科技股份有限公司,TW
3308,聯德電子股份有限公司,TW
3311,閎暉實業股份有限公司,TW
3312,弘憶國際股份有限公司,TW
3321,同泰電子科技股份有限公司,TW
3338,泰碩電子股份有限公司,TW
3346,麗清科技股份有限公司,TW
3356,奇偶科技股份有限公司,TW
3376,新日興股份有限公司,TW
3380,明泰科技股份有限公司,TW
3406,玉晶光電股份有限公司,TW
3413,京鼎精密科技股份有限公司,TW
3416,融程電訊股份有限公司,TW
3419,譁裕實業股份有限公司,TW
3432,台端興業股份有限公司,TW
3437,榮創能源科技股份有限公司,TW
3443,創意電子股份有限公司,TW
3447,展達通訊股份有限公司,TW
3450,聯鈞光電股份有限公司,TW
3454,晶睿通訊股份有限公司,TW
3481,群創光電股份有限公司,TW
3494,誠研科技股份有限公司,TW
3501,維熹科技股份有限公司,TW
3504,揚明光學股份有限公司,TW
3515,華擎科技股份有限公司,TW
3518,柏騰科技股份有限公司,TW
3528,安馳科技股份有限公司,TW
3530,晶相光電股份有限公司,TW
3532,台塑勝高科技股份有限公司,TW
3533,嘉澤端子工業股份有限公司,TW
3535,晶彩科技股份有限公司,TW
3543,州巧科技股份有限公司,TW
3545,敦泰電子股份有限公司,TW
3550,聯穎科技股份有限公司,TW
3557,嘉威生活股份有限公司,TW
3563,牧德科技股份有限公司,TW
3576,聯合再生能源股份有限公司,TW
3583,辛耘企業股份有限公司,TW
3588,通嘉科技股份有限公司,TW
3591,艾笛森光電股份有限公司,TW
3592,瑞鼎科技股份有限公司,TW
3593,力銘科技股份有限公司,TW
3596,智易科技股份有限公司,TW
3605,宏致電子股份有限公司,TW
3607,谷崧精密工業股份有限公司,TW
3617,碩天科技股份有限公司,TW
3622,洋華光電股份有限公司,TW
3645,達邁科技股份有限公司,TW
3652,精聯電子股份有限公司,TW
3653,健策精密工業股份有限公司,TW
3661,世芯電子股份有限公司,TW
3665,貿聯控股(BizLink Holding Inc.),TW
3669,圓展科技股份有限公司,TW
3673,"TPK Holding Co., Ltd.",TW
3679,新至陞科技股份有限公司,TW
3686,達能科技股份有限公司,TW
3694,海華科技股份有限公司,TW
3701,大眾全球投資控股股份有限公司,TW
3702,大聯大控股股份有限公司,TW
3703,欣陸投資控股股份有限公司,TW
3704,合勤投資控股股份有限公司,TW
3705,永信國際投資控股股份有限公司,TW
3706,神達控股股份有限公司,TW
3708,上緯國際投資控股股份有限公司,TW
3711,日月光投資控股股份有限公司,TW
3712,永崴投資控股股份有限公司,TW
3714,富采控股股份有限公司,TW
3715,定穎投資控股股份有限公司,TW
3716,中化控股股份有限公司,TW
3717,聯嘉光電投資控股股份有限公司,TW
4104,佳醫健康事業股份有限公司,TW
4106,雃博股份有限公司,TW
4108,懷特生技新藥股份有限公司,TW
4119,旭富製藥科技股份有限公司,TW
4133,亞諾法生技股份有限公司,TW
4137,麗豐股份有限公司,TW
4142,國光生物科技股份有限公司,TW
4148,全宇生技控股有限公司,TW
4155,訊映光電股份有限公司,TW
4164,承業生醫投資控股股份有限公司,TW
4190,佐登妮絲集團股份有限公司,TW
4306,炎洲股份有限公司,TW
4414,如興股份有限公司,TW
4426,利勤實業股份有限公司,TW
4438,廣越企業股份有限公司,TW
4439,冠星集團控股有限公司,TW
4440,宜新實業股份有限公司,TW
4441,振大環球股份有限公司,TW
4526,東台精機股份有限公司,TW
4532,瑞智精密股份有限公司,TW
4536,拓凱實業股份有限公司,TW
4540,全球傳動科技股份有限公司,TW
4545,銘鈺精密工業股份有限公司,TW
4551,智伸科技股份有限公司,TW
4552,力達控股有限公司,TW
4555,台灣氣立股份有限公司,TW
4557,永新控股股份有限公司,TW
4560,強信機械科技股份有限公司,TW
4562,穎漢科技股份有限公司,TW
4564,元翎精密工業股份有限公司,TW
4566,時碩工業股份有限公司,TW
4569,六方科技股份有限公司,TW
4571,鈞興機電國際股份有限公司,TW
4572,駐龍精密機械股份有限公司,TW
4576,大銀微系統股份有限公司,TW
4581,World Known MFG(Cayman)Limited,TW
4583,台灣精銳科技股份有限公司,TW
4585,達明機器人股份有限公司,TW
4588,玖鼎電力資訊股份有限公司,TW
4590,富田電機股份有限公司,TW
4720,德淵企業股份有限公司,TW
4722,國精化學股份有限公司,TW
4736,泰博科技股份有限公司,TW
4737,華廣生技股份有限公司,TW
4739,康普材料科技股份有限公司,TW
4746,台耀化學股份有限公司,TW
4755,三福化工股份有限公司,TW
4763,濟南大自然新材料股份有限公司,TW
4764,雙鍵化工股份有限公司,TW
4766,南寶樹脂化學工廠股份有限公司,TW
4770,上品綜合工業股份有限公司,TW
4771,望隼科技股份有限公司,TW
4807,日成控股股份有限公司,TW
4904,遠傳電信股份有限公司,TW
4906,正文科技股份有限公司,TW
4912,聯德控股股份有限公司,TW
4915,致伸科技股份有限公司,TW
4916,事欣科技股份有限公司,TW
4919,新唐科技股份有限公司,TW
4927,泰鼎國際股份有限公司,TW
4930,燦星網通股份有限公司,TW
4934,太極能源科技股份有限公司,TW
4935,茂林光電科技(開曼)股份有限公司,TW
4938,和碩聯合科技股份有限公司,TW
4942,嘉彰股份有限公司,TW
4943,開曼康而富控股股份有限公司,TW
4949,有成精密股份有限公司,TW
4952,凌通科技股份有限公司,TW
4956,光鋐科技股份有限公司,TW
4958,臻鼎科技控股股份有限公司,TW
4960,誠美材料科技股份有限公司,TW
4961,天鈺科技股份有限公司,TW
4967,十銓科技股份有限公司,TW
4968,立積電子股份有限公司,TW
4976,佳凌科技股份有限公司,TW
4977,眾達科技股份有限公司,TW
4989,李長榮科技股份有限公司,TW
4994,傳奇網路遊戲股份有限公司,TW
4999,鑫禾科技股份有限公司,TW
5007,三星科技股份有限公司,TW
5203,訊連科技股份有限公司,TW
